VOO: Vanguard S&P 500 ETF
Inception Date: 2010-09-09
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	159939700
Shares Outstanding: 523706000
Expense Ratio: 0.03%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VOO


Holding,Symbol,Weighting
Cognizant Technology Solutions Corp,CTSH,0.1356%
General Mills Inc,GIS,0.1325%
Chipotle Mexican Grill Inc,CMG,0.1322%
General Motors Co,GM,0.131%
Xcel Energy Inc,XEL,0.1304%
Twitter Inc,TWTR,0.1283%
SBA Communications Corp,SBAC,0.1274%
eBay Inc,EBAY,0.1269%
ConocoPhillips,COP,0.1258%
Dow Inc,DOW,0.125%
Exelon Corp,EXC,0.1244%
Sempra Energy,SRE,0.1217%
Public Storage,PSA,0.1215%
IDEXX Laboratories Inc,IDXX,0.121%
O'Reilly Automotive Inc,ORLY,0.1187%
Centene Corp,CNC,0.1171%
Ross Stores Inc,ROST,0.1168%
Synopsys Inc,SNPS,0.1168%
Amphenol Corp,APH,0.1167%
Capital One Financial Corp,COF,0.1163%
TE Connectivity Ltd,TEL,0.1161%
General Dynamics Corp,GD,0.1161%
HCA Healthcare Inc,HCA,0.1149%
Cummins Inc,CMI,0.1143%
Constellation Brands Inc,STZ,0.113%
Sysco Corp,SYY,0.113%
Agilent Technologies Inc,A,0.1116%
Johnson Controls International PLC,JCI,0.1105%
WEC Energy Group Inc,WEC,0.1101%
KLA Corp,KLAC,0.1089%
Verisk Analytics Inc,VRSK,0.1087%
Paccar Inc,PCAR,0.1083%
IQVIA Holdings Inc,IQV,0.1074%
MSCI Inc,MSCI,0.1073%
Cadence Design Systems Inc,CDNS,0.1067%
Monster Beverage Corp,MNST,0.1066%
Allstate Corp,ALL,0.1053%
T. Rowe Price Group Inc,TROW,0.1052%
Trane Technologies PLC,TT,0.1048%
IHS Markit Ltd,INFO,0.1044%
Cintas Corp,CTAS,0.1038%
Eversource Energy,ES,0.1033%
MetLife Inc,MET,0.1026%
PPG Industries Inc,PPG,0.1024%
Public Service Enterprise Group Inc,PEG,0.1005%
ANSYS Inc,ANSS,0.1004%
Bank of New York Mellon Corp,BK,0.0998%
Zimmer Biomet Holdings Inc,ZBH,0.0996%
Yum! Brands Inc,YUM,0.0986%
Travelers Companies Inc,TRV,0.0985%
Willis Towers Watson PLC,WLTW,0.0981%
Ball Corp,BLL,0.0971%
Motorola Solutions Inc,MSI,0.097%
Clorox Co,CLX,0.0965%
TransDigm Group Inc,TDG,0.0961%
Parker-Hannifin Corp,PH,0.0953%
Kroger Co,KR,0.0951%
Fastenal Co,FAST,0.0944%
Microchip Technology Inc,MCHP,0.0942%
HP Inc,HPQ,0.0942%
American Water Works Company Inc,AWK,0.0941%
Ford Motor Co,F,0.0934%
Stanley Black & Decker Inc,SWK,0.0931%
Fortive Corp,FTV,0.0928%
Consolidated Edison Inc,ED,0.0928%
Archer-Daniels-Midland Co,ADM,0.0927%
Rockwell Automation Inc,ROK,0.0927%
Xilinx Inc,XLNX,0.0923%
Best Buy Co Inc,BBY,0.0923%
Paychex Inc,PAYX,0.0923%
Walgreens Boots Alliance Inc,WBA,0.0922%
Otis Worldwide Corp,OTIS,0.0916%
Autozone Inc,AZO,0.0908%
Resmed Inc,RMD,0.0905%
Aptiv PLC,APTV,0.0903%
Prudential Financial Inc,PRU,0.0901%
Alexion Pharmaceuticals Inc,ALXN,0.0899%
Carrier Global Corp,CARR,0.0899%
Marriott International Inc,MAR,0.0891%
Williams Companies Inc,WMB,0.0889%
Mettler-Toledo International Inc,MTD,0.0888%
D.R. Horton Inc,DHI,0.0882%
Corning Inc,GLW,0.0879%
Kinder Morgan Inc,KMI,0.0877%
Hilton Worldwide Holdings Inc,HLT,0.0873%
Skyworks Solutions Inc,SWKS,0.087%
Mckesson Corp,MCK,0.0864%
Aflac Inc,AFL,0.0863%
American International Group Inc,AIG,0.0851%
McCormick & Company Inc,MKC,0.0846%
Align Technology Inc,ALGN,0.0839%
Church & Dwight Co Inc,CHD,0.0827%
Phillips 66,PSX,0.0827%
AMETEK Inc,AME,0.0824%
Welltower Inc,WELL,0.0821%
Freeport-McMoRan Inc,FCX,0.0805%
Southwest Airlines Co,LUV,0.0803%
VF Corp,VFC,0.0803%
DTE Energy Co,DTE,0.0794%
Copart Inc,CPRT,0.0789%
Lennar Corp,LEN,0.0786%
Schlumberger NV,SLB,0.0785%
Cerner Corp,CERN,0.0783%
Dollar Tree Inc,DLTR,0.0777%
Corteva Inc,CTVA,0.0775%
EOG Resources Inc,EOG,0.0763%
State Street Corp,STT,0.0761%
Realty Income Corp,O,0.076%
Hershey Co,HSY,0.0758%
Weyerhaeuser Co,WY,0.0757%
Avalonbay Communities Inc,AVB,0.0754%
Verisign Inc,VRSN,0.0751%
PPL Corp,PPL,0.0746%
Arthur J Gallagher & Co,AJG,0.0727%
Fleetcor Technologies Inc,FLT,0.0725%
West Pharmaceutical Services Inc,WST,0.0717%
Republic Services Inc,RSG,0.0713%
Simon Property Group Inc,SPG,0.0712%
Delta Air Lines Inc,DAL,0.0706%
Ameren Corp,AEE,0.0704%
Equifax Inc,EFX,0.0703%
Edison International,EIX,0.0702%
Marathon Petroleum Corp,MPC,0.0694%
Kraft Heinz Co,KHC,0.0694%
Entergy Corp,ETR,0.069%
Take-Two Interactive Software Inc,TTWO,0.0689%
Keysight Technologies Inc,KEYS,0.0678%
First Republic Bank,FRC,0.0677%
Alexandria Real Estate Equities Inc,ARE,0.067%
