FTEC: Fidelity MSCI Information Technology Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2021-02-23
Total Assets Under Management (in thousands):	5562010
Shares Outstanding: 51200000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Information Technology Index
ETFdb.com Category: Technology Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FTEC


Holding,Symbol,Weighting
"Dropbox, Inc. Class A",DBX,0.07%
"Juniper Networks, Inc.",JNPR,0.07%
"Brooks Automation, Inc.",BRKS,0.06%
DXC Technology Co.,DXC,0.06%
"Lumentum Holdings, Inc.",LITE,0.06%
"First Solar, Inc.",FSLR,0.06%
"BlackLine, Inc.",BL,0.06%
"Coherent, Inc.",COHR,0.06%
"Fastly, Inc. Class A",FSLY,0.06%
Silicon Laboratories Inc.,SLAB,0.06%
Lattice Semiconductor Corporation,LSCC,0.06%
"CDK Global, Inc.",CDK,0.06%
"Littelfuse, Inc.",LFUS,0.06%
"Q2 Holdings, Inc.",QTWO,0.06%
"Digital Turbine, Inc.",APPS,0.06%
"Dolby Laboratories, Inc. Class A",DLB,0.06%
"Varonis Systems, Inc.",VRNS,0.06%
"Pure Storage, Inc. Class A",PSTG,0.06%
"Nutanix, Inc. Class A",NTNX,0.06%
Concentrix Corporation,CNXC,0.05%
"MAXIMUS, Inc.",MMS,0.05%
Appian Corporation Class A,APPN,0.05%
MicroStrategy Incorporated Class A,MSTR,0.05%
Jabil Inc.,JBL,0.05%
Pegasystems Inc.,PEGA,0.05%
"Alteryx, Inc. Class A",AYX,0.05%
"Everbridge, Inc.",EVBG,0.05%
National Instruments Corporation,NATI,0.05%
"CMC Materials, Inc.",CCMP,0.05%
"Cirrus Logic, Inc.",CRUS,0.05%
Vontier Corp,VNT,0.05%
"J2 Global, Inc.",JCOM,0.05%
"Power Integrations, Inc.",POWI,0.05%
"SailPoint Technologies Holdings, Inc.",SAIL,0.05%
Science Applications International Corp.,SAIC,0.05%
CACI International Inc Class A,CACI,0.05%
Semtech Corporation,SMTC,0.05%
Sabre Corp.,SABR,0.04%
"Advanced Energy Industries, Inc.",AEIS,0.04%
Teradata Corporation,TDC,0.04%
"Perspecta, Inc.",PRSP,0.04%
NCR Corporation,NCR,0.04%
"FireEye, Inc.",FEYE,0.04%
"LiveRamp Holdings, Inc.",RAMP,0.04%
Xerox Holdings Corporation,XRX,0.04%
Novanta Inc,NOVT,0.04%
"Envestnet, Inc.",ENV,0.04%
SYNNEX Corporation,SNX,0.04%
Viavi Solutions Inc,VIAV,0.04%
3D Systems Corporation,DDD,0.04%
"Alarm.com Holdings, Inc.",ALRM,0.04%
Alliance Data Systems Corporation,ADS,0.04%
"Acacia Communications, Inc.",ACIA,0.04%
Cerence Inc.,CRNC,0.04%
Synaptics Incorporated,SYNA,0.04%
"LivePerson, Inc.",LPSN,0.04%
"KBR, Inc.",KBR,0.04%
"ACI Worldwide, Inc.",ACIW,0.04%
"Ambarella, Inc.",AMBA,0.04%
"Kulicke & Soffa Industries, Inc.",KLIC,0.03%
"FormFactor, Inc.",FORM,0.03%
"Workiva, Inc. Class A",WK,0.03%
"SPS Commerce, Inc.",SPSC,0.03%
MaxLinear inc,MXL,0.03%
"Cornerstone Ondemand, Inc.",CSOD,0.03%
"Avnet, Inc.",AVT,0.03%
"Qualys, Inc.",QLYS,0.03%
Rogers Corporation,ROG,0.03%
"Vishay Intertechnology, Inc.",VSH,0.03%
"2U, Inc.",TWOU,0.03%
"New Relic, Inc.",NEWR,0.03%
"Medallia, Inc.",MDLA,0.03%
"Box, Inc. Class A",BOX,0.03%
"Cloudera, Inc.",CLDR,0.03%
Verint Systems Inc.,VRNT,0.03%
"MACOM Technology Solutions Holdings, Inc.",MTSI,0.03%
"ViaSat, Inc.",VSAT,0.03%
SunPower Corporation,SPWR,0.03%
"Insight Enterprises, Inc.",NSIT,0.03%
"ExlService Holdings, Inc.",EXLS,0.03%
"Onto Innovation, Inc.",ONTO,0.03%
Rapid7 Inc.,RPD,0.03%
Fabrinet,FN,0.03%
"Itron, Inc.",ITRI,0.03%
"Blackbaud, Inc.",BLKB,0.03%
Diodes Incorporated,DIOD,0.03%
"8x8, Inc.",EGHT,0.03%
"Badger Meter, Inc.",BMI,0.03%
"CommVault Systems, Inc.",CVLT,0.03%
"CommScope Holding Co., Inc.",COMM,0.03%
"NetScout Systems, Inc.",NTCT,0.02%
"Tenable Holdings, Inc.",TENB,0.02%
ManTech International Corporation Class A,MANT,0.02%
"Cohu, Inc.",COHU,0.02%
"Bottomline Technologies (de), Inc.",EPAY,0.02%
"Pluralsight, Inc. Class A",PS,0.02%
