VTI: Vanguard Total Stock Market ETF
Inception Date: 2001-05-31
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	161857601
Shares Outstanding: 957228000
Expense Ratio: 0.03%
Tracks This Index: CRSP US Total Market Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VTI


Holding,Symbol,Weighting
Tiffany & Co,TIF,0.0413%
Jack Henry & Associates Inc,JKHY,0.0412%
Celanese Corp,CE,0.0411%
Nasdaq Inc,NDAQ,0.0409%
Pool Corp,POOL,0.0408%
HEICO Corp,HEI,0.0408%
Masco Corp,MAS,0.0408%
Duke Realty Corp,DRE,0.0407%
Extra Space Storage Inc,EXR,0.0406%
AES Corp,AES,0.0402%
Markel Corp,MKL,0.0401%
Hewlett Packard Enterprise Co,HPE,0.0399%
Fortune Brands Home & Security Inc,FBHS,0.0398%
Black Knight Inc,BKI,0.0396%
Leidos Holdings Inc,LDOS,0.0396%
Hormel Foods Corp,HRL,0.0393%
CH Robinson Worldwide Inc,CHRW,0.0393%
HubSpot Inc,HUBS,0.039%
Sun Communities Inc,SUI,0.039%
Waters Corp,WAT,0.0389%
Trimble Inc,TRMB,0.0388%
Amerisourcebergen Corp,ABC,0.0387%
Crane Co,CR,0.0386%
Cash Component,CASH,0.0382%
Darden Restaurants Inc,DRI,0.0382%
Ulta Beauty Inc,ULTA,0.0382%
International Flavors & Fragrances Inc,IFF,0.0381%
J M Smucker Co,SJM,0.0381%
FMC Corp,FMC,0.038%
Fair Isaac Corp,FICO,0.0379%
SVB Financial Group,SIVB,0.0379%
Genuine Parts Co,GPC,0.0375%
United Rentals Inc,URI,0.0371%
Centurylink Inc,LUMN,0.0369%
Essex Property Trust Inc,ESS,0.0366%
Hess Corp,HES,0.0366%
Bio Rad Laboratories Inc,BIO,0.0366%
Garmin Ltd,GRMN,0.0365%
KeyCorp,KEY,0.0365%
Hartford Financial Services Group Inc,HIG,0.0363%
Monolithic Power Systems Inc,MPWR,0.036%
Ingersoll Rand Inc,IR,0.0359%
Charles River Laboratories International Inc,CRL,0.0356%
Factset Research Systems Inc,FDS,0.0356%
RPM International Inc,RPM,0.0355%
ABIOMED Inc,ABMD,0.0355%
VMware Inc,VMW,0.0353%
Cheniere Energy Inc,LNG,0.0353%
E*Trade Financial Corp,ETFC,0.0353%
Whirlpool Corp,WHR,0.0353%
Neurocrine Biosciences Inc,NBIX,0.0352%
Teledyne Technologies Inc,TDY,0.0351%
J B Hunt Transport Services Inc,JBHT,0.035%
Booz Allen Hamilton Holding Corp,BAH,0.0349%
Gartner Inc,IT,0.0348%
First Merchants Corp,FRME,0.0347%
Citizens Financial Group Inc,CFG,0.0346%
Western Digital Corp,WDC,0.0342%
Regions Financial Corp,RF,0.0338%
Trustmark Corp,TRMK,0.0338%
Cincinnati Financial Corp,CINF,0.0336%
Arista Networks Inc,ANET,0.0336%
Varonis Systems Inc,VRNS,0.0335%
Elanco Animal Health Inc,ELAN,0.0334%
Cognex Corp,CGNX,0.0334%
Avalara Inc,AVLR,0.0334%
Arch Capital Group Ltd,ACGL,0.0333%
GoDaddy Inc,GDDY,0.0333%
Avery Dennison Corp,AVY,0.0332%
Zendesk Inc,ZEN,0.0331%
Masimo Corp,MASI,0.033%
Omnicom Group Inc,OMC,0.0329%
TD Ameritrade Holding Corp,AMTD,0.0328%
Tenable Holdings Inc,TENB,0.0328%
Royal Caribbean Cruises Ltd,RCL,0.0328%
Hasbro Inc,HAS,0.0327%
VICI Properties Inc,VICI,0.0327%
Westinghouse Air Brake Technologies Corp,WAB,0.0325%
Molina Healthcare Inc,MOH,0.0325%
Xencor Inc,XNCR,0.0324%
Lennox International Inc,LII,0.0323%
Advance Auto Parts Inc,AAP,0.0323%
Cable One Inc,CABO,0.032%
Baker Hughes Co,BKR,0.0319%
Expedia Group Inc,EXPE,0.0315%
Ally Financial Inc,ALLY,0.0315%
Alliant Energy Corp,LNT,0.0314%
Jacobs Engineering Group Inc,J,0.0313%
Brown & Brown Inc,BRO,0.0313%
DENTSPLY SIRONA Inc,XRAY,0.0311%
Equity LifeStyle Properties Inc,ELS,0.031%
Eastman Chemical Co,EMN,0.031%
Liberty Media Corp,LSXMA,0.0309%
ONEOK Inc,OKE,0.0309%
Boston Properties Inc,BXP,0.0309%
Seagate Technology PLC,STX,0.0308%
Halliburton Co,HAL,0.0307%
Entegris Inc,ENTG,0.0307%
Medical Properties Trust Inc,MPW,0.0304%
10X Genomics Inc,TXG,0.0303%
Slack Technologies Inc,WORK,0.0303%
MGM Resorts International,MGM,0.0303%
Crown Holdings Inc,CCK,0.0303%
MongoDB Inc,MDB,0.0302%
Packaging Corp of America,PKG,0.0302%
Trex Company Inc,TREX,0.0301%
Cboe Global Markets Inc,CBOE,0.0298%
IAC/Interactivecorp,IAC,0.0295%
Vistra Corp,VST,0.0295%
Albemarle Corp,ALB,0.0293%
Campbell Soup Co,CPB,0.0293%
ITT Inc,ITT,0.0292%
Rollins Inc,ROL,0.029%
Annaly Capital Management Inc,NLY,0.029%
Principal Financial Group Inc,PFG,0.0289%
Liberty Media Corp,FWONA,0.0288%
ON Semiconductor Corp,ON,0.0287%
Raymond James Financial Inc,RJF,0.0286%
Aspen Technology Inc,AZPN,0.0286%
Westrock Co,WRK,0.0284%
Fidelity National Financial Inc,FNF,0.0284%
CenterPoint Energy Inc,CNP,0.0284%
News Corp,NWS,0.0283%
Huntington Bancshares Inc,HBAN,0.0283%
NortonLifeLock Inc,NLOK,0.0283%
Toro Co,TTC,0.0282%
IDEX Corp,IEX,0.0279%
PTC Inc,PTC,0.0278%
Umpqua Holdings Corp,UMPQ,0.0277%
Occidental Petroleum Corp,OXY,0.0277%
United Airlines Holdings Inc,UAL,0.0276%
Textron Inc,TXT,0.0276%
Gci Liberty Inc,GLIBA,0.0276%
Guidewire Software Inc,GWRE,0.0275%
Mirati Therapeutics Inc,MRTX,0.0275%
Mid-America Apartment Communities Inc,MAA,0.0273%
Everest Re Group Ltd,RE,0.0272%
Nordson Corp,NDSN,0.0272%
Novocure Ltd,NVCR,0.0271%
Nuance Communications Inc,NUAN,0.027%
Henry Schein Inc,HSIC,0.0267%
Penn National Gaming Inc,PENN,0.0267%
Vail Resorts Inc,MTN,0.0266%
Zscaler Inc,ZS,0.0266%
Allegion PLC,ALLE,0.0264%
SJW Group,SJW,0.0264%
Jazz Pharmaceuticals PLC,JAZZ,0.0264%
Snowflake Inc.,SNOW,0.0261%
Boston Beer Company Inc,SAM,0.026%
Chegg Inc,CHGG,0.0259%
Camden Property Trust,CPT,0.0259%
LKQ Corp,LKQ,0.0258%
UDR Inc,UDR,0.0258%
Snap-On Inc,SNA,0.0258%
Ionis Pharmaceuticals Inc,IONS,0.0258%
Pinnacle West Capital Corp,PNW,0.0256%
Royal Gold Inc,RGLD,0.0255%
Livongo Health Inc,LVGO,0.0254%
XPO Logistics Inc,XPO,0.0254%
Universal Display Corp,OLED,0.0254%
CyrusOne Inc,CONE,0.0254%
Ceridian HCM Holding Inc,CDAY,0.0254%
Douglas Emmett Inc,DEI,0.0251%
Sunrun Inc,RUN,0.025%
Agios Pharmaceuticals Inc,AGIO,0.025%
Universal Health Services Inc,UHS,0.0249%
Live Nation Entertainment Inc,LYV,0.0249%
Enphase Energy Inc,ENPH,0.0248%
Amedisys Inc,AMED,0.0247%
Dunkin' Brands Group Inc,DNKN,0.0244%
Sirius XM Holdings Inc,SIRI,0.0244%
Juniper Networks Inc,JNPR,0.0243%
L Brands Inc,LB,0.0242%
Equitable Holdings Inc,EQH,0.0242%
AGNC Investment Corp,AGNC,0.0242%
Apollo Global Management Inc,APO,0.0241%
Avantor Inc,AVTR,0.0241%
Mylan NV,MYL,0.024%
Repligen Corp,RGEN,0.024%
Watts Water Technologies Inc,WTS,0.024%
Owens Corning,OC,0.024%
Iron Mountain Inc,IRM,0.0239%
Loews Corp,L,0.0239%
Zynga Inc,ZNGA,0.0238%
NetApp Inc,NTAP,0.0237%
Lamb Weston Holdings Inc,LW,0.0236%
F5 Networks Inc,FFIV,0.0235%
Silk Road Medical Inc,SILK,0.0234%
Borgwarner Inc,BWA,0.0234%
Bio-Techne Corp,TECH,0.0234%
Momenta Pharmaceuticals Inc,MNTA,0.0233%
Old Republic International Corp,ORI,0.0233%
A. O. Smith Corp,AOS,0.0232%
Williams-Sonoma Inc,WSM,0.0232%
Sensata Technologies Holding PLC,ST,0.023%
Cabot Oil & Gas Corp,COG,0.023%
Renaissancere Holdings Ltd,RNR,0.0229%
Globe Life Inc,GL,0.0229%
Quanta Services Inc,PWR,0.0228%
NRG Energy Inc,NRG,0.0228%
Western Union Co,WU,0.0227%
Carlisle Companies Inc,CSL,0.0227%
Corelogic Inc,CLGX,0.0227%
Chemed Corp,CHE,0.0226%
Service Corporation International,SCI,0.0226%
Host Hotels & Resorts Inc,HST,0.0226%
Essential Utilities Inc,WTRG,0.0224%
ALLETE Inc,ALE,0.0222%
Highwoods Properties Inc,HIW,0.0222%
Five Below Inc,FIVE,0.0221%
Assurant Inc,AIZ,0.0221%
Caseys General Stores Inc,CASY,0.022%
Watsco Inc,WSO,0.022%
Cree Inc,CREE,0.0219%
DISH Network Corp,DISH,0.0217%
Pentair PLC,PNR,0.0217%
Berry Global Group Inc,BERY,0.0217%
GrubHub Inc,GRUB,0.0216%
W. R. Berkley Corp,WRB,0.0216%
Amicus Therapeutics Inc,FOLD,0.0216%
Alleghany Corp,Y,0.0215%
SEI Investments Co,SEIC,0.0214%
Exelixis Inc,EXEL,0.0214%
Guardant Health Inc,GH,0.0211%
Gaming and Leisure Properties Inc,GLPI,0.021%
Fastly Inc,FSLY,0.021%
Gentex Corp,GNTX,0.0209%
Newell Brands Inc,NWL,0.0209%
WEX Inc,WEX,0.0209%
TopBuild Corp,BLD,0.0208%
Clearway Energy Inc,CWEN.A,0.0206%
Tandem Diabetes Care Inc,TNDM,0.0206%
AECOM,ACM,0.0206%
Penumbra Inc,PEN,0.0206%
CF Industries Holdings Inc,CF,0.0205%
Reliance Steel & Aluminum Co,RS,0.0205%
Stericycle Inc,SRCL,0.0205%
Bright Horizons Family Solutions Inc,BFAM,0.0204%
Lear Corp,LEA,0.0204%
Omega Healthcare Investors Inc,OHI,0.0204%
United Therapeutics Corp,UTHR,0.0203%
Manhattan Associates Inc,MANH,0.0203%
Quidel Corp,QDEL,0.0203%
Aramark,ARMK,0.0202%
Wynn Resorts Ltd,WYNN,0.0201%
Lincoln National Corp,LNC,0.0201%
American Homes 4 Rent,AMH,0.02%
Americold Realty Trust,COLD,0.02%
Healthcare Trust Of America Inc,HTA,0.0199%
