DIM: WisdomTree International MidCap Dividend
Inception Date: 2006-06-16
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	151884
Shares Outstanding: 2700000
Expense Ratio: 0.58%
Tracks This Index: WisdomTree International MidCap Dividend Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DIM


Holding,Symbol,Weighting
Bendigo and Adelaide Bank Ltd,BEN,0.1124%
Computershare Ltd,CPU,0.1123%
Reece Ltd,REH,0.1116%
Ashmore Group PLC,ASHM,0.1108%
Georg Fischer AG,FI-N,0.1108%
Leroy Seafood Group ASA,LSG,0.1102%
Societe BIC SA,BB,0.1097%
Bechtle AG,BC8,0.1091%
Shimadzu Corp,7701,0.1089%
Valmet Oyj,VALMT,0.1083%
Azrieli Group Ltd,AZRG,0.1083%
Grandvision NV,GVNV,0.1082%
Treasury Wine Estates Ltd,TWE,0.1079%
Olam International Ltd,O32,0.1079%
Kuraray Co Ltd,3405,0.107%
Beijing Enterprises Holdings Ltd,392,0.1068%
Kojamo Oyj,KOJAMO,0.1066%
Vienna Insurance Group AG Wiener Versicherung Gruppe,VIG,0.1063%
Hysan Development Co Ltd,14,0.1059%
Fomento de Construcciones y Contratas SA,FCC,0.1054%
Mitsubishi Motors Corp,7211,0.1053%
Straumann Holding AG,STMN,0.105%
Rubis SCA,RUI,0.1049%
AVEVA Group PLC,AVV,0.1044%
Stanley Electric Co Ltd,6923,0.1039%
HomeServe PLC,HSV,0.1034%
Seven Group Holdings Ltd,SVW,0.1029%
Washington H Soul Pattinson and Company Ltd,SOL,0.1025%
Verbund AG,VER,0.102%
ZOZO Inc,3092,0.1014%
China Everbright Environment Group Ltd,257,0.1011%
Comsys Holdings Corp,1721,0.1004%
Orica Ltd,ORI,0.1003%
Fabege AB,FABG,0.1001%
Oji Holdings Corp,3861,0.0997%
SFS Group AG,SFSN,0.0992%
Sumitomo Rubber Industries Ltd,5110,0.0992%
City Developments Ltd,C09,0.0989%
NOS SGPS SA,NOS,0.098%
Kawasaki Heavy Industries Ltd,7012,0.0975%
Intrum AB,INTRUM,0.0974%
Ricoh Co Ltd,7752,0.0974%
Britvic PLC,BVIC,0.0973%
Ryman Healthcare Ltd,RYM,0.0969%
Alps Alpine Co Ltd,6770,0.0969%
Aeon Financial Service Co Ltd,8570,0.0965%
Hakuhodo DY Holdings Inc,2433,0.0958%
Sankyo Co Ltd,6417,0.0956%
Nikon Corp,7731,0.0954%
Sumitomo Dainippon Pharma Co Ltd,4506,0.0946%
Sparebank 1 SR Bank ASA,SRBANK,0.0943%
Taiheiyo Cement Corp,5233,0.0942%
Bucher Industries AG,BUCN,0.0934%
Kakaku.com Inc,2371,0.0923%
Comfortdelgro Corporation Ltd,C52,0.0921%
Spectris PLC,SXS,0.0913%
Iluka Resources Ltd,ILU,0.0912%
Kansai Paint Co Ltd,4613,0.0891%
Sweco AB (publ),SWEC.B,0.0887%
Auto Trader Group PLC,AUTO,0.0885%
TUI AG,TUI1,0.0881%
Atlas Arteria Group,ALX,0.0879%
Wendel SE,MF,0.0878%
Enav SpA,ENAV,0.0869%
SATS Ltd,S58,0.0869%
Iren SpA,IRE,0.0866%
Eurazeo SE,RF,0.086%
UOL Group Ltd,U14,0.0858%
Quilter PLC,QLT,0.0851%
Lanxess AG,LXS,0.085%
Sumitomo Heavy Industries Ltd,6302,0.0848%
Rockwool International A/S,ROCK.B,0.0824%
Ipsen SA,IPN,0.0814%
Hang Lung Group Ltd,10,0.0807%
Rheinmetall AG,RHM,0.0805%
Daicel Corp,4202,0.0797%
Seibu Holdings Inc,9024,0.0781%
Kyushu Railway Co,9142,0.0774%
Tokyu Fudosan Holdings Corp,3289,0.0772%
Grupo Catalana Occidente SA,GCO,0.0768%
Fuchs Petrolub SE,FPE,0.0744%
Challenger Ltd,CGF,0.0742%
OC Oerlikon Corporation AG Pfaeffikon,OERL,0.0732%
Electrocomponents PLC,ECM,0.0727%
Downer EDI Ltd,DOW,0.0724%
Mitsubishi Materials Corp,5711,0.0724%
Elbit Systems Ltd,ESLT,0.0718%
Canon Marketing Japan Inc,8060,0.0706%
Origin Energy Ltd,ORG,0.0698%
J.Front Retailing Co Ltd,3086,0.0697%
Marui Group Co Ltd,8252,0.0678%
Showa Denko KK,4004,0.0675%
Sino-Ocean Group Holding Ltd,3377,0.0675%
Derwent London PLC,DLN,0.0657%
Ryohin Keikaku Co Ltd,7453,0.061%
Coca-Cola Bottlers Japan Holdings Inc,2579,0.0598%
Park24 Co Ltd,4666,0.0593%
Yokogawa Electric Corp,6841,0.0579%
Babcock International Group PLC,BAB,0.0572%
Nisshin Seifun Group Inc,2002,0.0572%
Taiyo Nippon Sanso Corp,4091,0.057%
Schroders PLC,SDRC,0.0564%
Beazley PLC,BEZ,0.0554%
Electric Power Development Co Ltd,9513,0.0553%
CIE Automotive SA,CIE,0.0528%
Yokohama Rubber Co Ltd,5101,0.0524%
SBM Offshore NV,SBMO,0.0524%
Kaz Minerals PLC,KAZ,0.0506%
Aeon Mall Co Ltd,8905,0.0504%
Air Water Inc,4088,0.0497%
IHI Corp,7013,0.0487%
Frasers Property Ltd,TQ5,0.0486%
Glanbia PLC,GL9i,0.0473%
Worley Ltd,WOR,0.0424%
Hapag Lloyd AG,HLAG,0.0423%
Lifco AB (publ),LIFCO.B,0.0413%
Iliad SA,ILD,0.0394%
Leonardo SpA,LDO,0.0344%
Berkeley Group Holdings PLC,BKG,0.0311%
Konica Minolta Inc,4902,0.0308%
Viva Energy Group Ltd,VEA,0.0306%
EDP Renovaveis SA,EDPR,0.0301%
TechnipFMC PLC,FTI,0.0274%
Northern Star Resources Ltd,NST,0.0268%
Investec PLC,INVP,0.0256%
IDP Education Ltd,IEL,0.0232%
SSP Group PLC,SSPG,0.0197%
TUI AG,TUI,0.0169%
Whitehaven Coal Ltd,WHC,0.0147%
Neles Oyj,NELES,0.0093%
