,Holding,Symbol,Weighting,Fund
116,HanesBrands Inc,HBI,0.1299%,DGRW
117,Tiffany & Co,TIF,0.1278%,DGRW
118,Amphenol Corp,APH,0.1237%,DGRW
119,Rollins Inc,ROL,0.1196%,DGRW
120,Broadridge Financial Solutions Inc,BR,0.1178%,DGRW
121,Cerner Corp,CERN,0.1158%,DGRW
122,FMC Corp,FMC,0.1156%,DGRW
123,Expeditors International of Washington Inc,EXPD,0.1155%,DGRW
124,Snap-On Inc,SNA,0.1123%,DGRW
125,Erie Indemnity Co,ERIE,0.111%,DGRW
126,RPM International Inc,RPM,0.1104%,DGRW
127,Equifax Inc,EFX,0.1091%,DGRW
128,Avery Dennison Corp,AVY,0.1064%,DGRW
129,Xylem Inc,XYL,0.1056%,DGRW
130,Scotts Miracle-Gro Co,SMG,0.1053%,DGRW
131,Williams-Sonoma Inc,WSM,0.1052%,DGRW
132,Verisk Analytics Inc,VRSK,0.1049%,DGRW
133,Kansas City Southern,KSU,0.104%,DGRW
134,Citrix Systems Inc,CTXS,0.1002%,DGRW
135,Pioneer Natural Resources Co,PXD,0.0984%,DGRW
136,Cabot Oil & Gas Corp,COG,0.0947%,DGRW
137,CF Industries Holdings Inc,CF,0.0947%,DGRW
138,Hubbell Inc,HUBB,0.0945%,DGRW
139,Global Payments Inc,GPN,0.0938%,DGRW
140,Fortune Brands Home & Security Inc,FBHS,0.0936%,DGRW
141,Leggett & Platt Inc,LEG,0.0911%,DGRW
142,Raymond James Financial Inc,RJF,0.0882%,DGRW
143,Vulcan Materials Co,VMC,0.0863%,DGRW
144,CDW Corp,CDW,0.0816%,DGRW
145,Harley-Davidson Inc,HOG,0.0816%,DGRW
146,IDEX Corp,IEX,0.0813%,DGRW
147,Pool Corp,POOL,0.0801%,DGRW
148,Ingredion Inc,INGR,0.0793%,DGRW
149,Pultegroup Inc,PHM,0.0791%,DGRW
150,Booz Allen Hamilton Holding Corp,BAH,0.0788%,DGRW
151,A. O. Smith Corp,AOS,0.0786%,DGRW
152,Polaris Inc,PII,0.078%,DGRW
153,Graco Inc,GGG,0.0773%,DGRW
154,Leidos Holdings Inc,LDOS,0.0736%,DGRW
155,AMETEK Inc,AME,0.0731%,DGRW
156,Brown-Forman Corp,BF.A,0.0727%,DGRW
157,National Fuel Gas Co,NFG,0.0719%,DGRW
158,Service Corporation International,SCI,0.0717%,DGRW
159,Eaton Vance Corp,EV,0.0713%,DGRW
160,Thor Industries Inc,THO,0.069%,DGRW
161,J B Hunt Transport Services Inc,JBHT,0.068%,DGRW
162,Factset Research Systems Inc,FDS,0.0679%,DGRW
163,Cboe Global Markets Inc,CBOE,0.0671%,DGRW
164,West Pharmaceutical Services Inc,WST,0.0668%,DGRW
165,Brown & Brown Inc,BRO,0.0661%,DGRW
166,Martin Marietta Materials Inc,MLM,0.0658%,DGRW
167,Gentex Corp,GNTX,0.0635%,DGRW
168,Lincoln Electric Holdings Inc,LECO,0.0631%,DGRW
169,TCF Financial Corp,TCF,0.0615%,DGRW
170,East West Bancorp Inc,EWBC,0.0607%,DGRW
171,Jack Henry & Associates Inc,JKHY,0.0593%,DGRW
172,Marketaxess Holdings Inc,MKTX,0.0592%,DGRW
173,Encompass Health Corp,EHC,0.0589%,DGRW
174,MSC Industrial Direct Co Inc,MSM,0.0588%,DGRW
175,Wendys Co,WEN,0.0582%,DGRW
176,Lancaster Colony Corp,LANC,0.058%,DGRW
177,Toro Co,TTC,0.0579%,DGRW
178,Monolithic Power Systems Inc,MPWR,0.0562%,DGRW
179,Nordson Corp,NDSN,0.0545%,DGRW
180,SS&C Technologies Holdings Inc,SSNC,0.0541%,DGRW
181,Fortive Corp,FTV,0.0527%,DGRW
182,Old Dominion Freight Line Inc,ODFL,0.0527%,DGRW
183,Huntington Ingalls Industries Inc,HII,0.0517%,DGRW
184,Jacobs Engineering Group Inc,J,0.0491%,DGRW
185,Donaldson Company Inc,DCI,0.049%,DGRW
186,Carlisle Companies Inc,CSL,0.0488%,DGRW
187,Westinghouse Air Brake Technologies Corp,WAB,0.0483%,DGRW
188,SEI Investments Co,SEIC,0.0478%,DGRW
189,Brunswick Corp,BC,0.0476%,DGRW
190,Aptargroup Inc,ATR,0.0458%,DGRW
191,Bank Ozk,OZK,0.0454%,DGRW
192,Graphic Packaging Holding Co,GPK,0.0454%,DGRW
193,LPL Financial Holdings Inc,LPLA,0.0433%,DGRW
194,MSA Safety Inc,MSA,0.0431%,DGRW
195,Lennar Corp,LEN,0.0417%,DGRW
196,Oshkosh Corp,OSK,0.0414%,DGRW
197,Nexstar Media Group Inc,NXST,0.0409%,DGRW
198,Federated Hermes Inc,FHI,0.0381%,DGRW
199,BWX Technologies Inc,BWXT,0.0373%,DGRW
200,Globe Life Inc,GL,0.0353%,DGRW
201,PerkinElmer Inc,PKI,0.0351%,DGRW
202,Regal Beloit Corp,RBC,0.0348%,DGRW
203,Toll Brothers Inc,TOL,0.0345%,DGRW
204,TransUnion,TRU,0.0344%,DGRW
205,Ubiquiti Inc,UI,0.0336%,DGRW
206,Teradyne Inc,TER,0.0325%,DGRW
207,Morningstar Inc,MORN,0.0324%,DGRW
208,Aramark,ARMK,0.0322%,DGRW
209,Science Applications International Corp,SAIC,0.032%,DGRW
210,Simpson Manufacturing Co Inc,SSD,0.0316%,DGRW
211,Devon Energy Corp,DVN,0.0311%,DGRW
212,Maximus Inc,MMS,0.0307%,DGRW
213,Dolby Laboratories Inc,DLB,0.0295%,DGRW
214,Caseys General Stores Inc,CASY,0.0288%,DGRW
215,Western Alliance Bancorp,WAL,0.0284%,DGRW
216,NewMarket Corp,NEU,0.0278%,DGRW
217,FLIR Systems Inc,FLIR,0.0275%,DGRW
218,Flowserve Corp,FLS,0.0274%,DGRW
219,Teleflex Inc,TFX,0.0273%,DGRW
220,Tetra Tech Inc,TTEK,0.027%,DGRW
221,Allison Transmission Holdings Inc,ALSN,0.0269%,DGRW
222,SLM Corp,SLM,0.0269%,DGRW
223,ITT Inc,ITT,0.0266%,DGRW
224,AGCO Corp,AGCO,0.0266%,DGRW
225,Hill-Rom Holdings Inc,HRC,0.0233%,DGRW
226,Armstrong World Industries Inc,AWI,0.0229%,DGRW
227,Knight-Swift Transportation Holdings Inc,KNX,0.0218%,DGRW
228,Tegna Inc,TGNA,0.0211%,DGRW
229,Cognex Corp,CGNX,0.0211%,DGRW
230,Entegris Inc,ENTG,0.0208%,DGRW
231,Landstar System Inc,LSTR,0.0206%,DGRW
232,Air Lease Corp,AL,0.0202%,DGRW
233,Chemed Corp,CHE,0.0194%,DGRW
234,Diamondback Energy Inc,FANG,0.019%,DGRW
235,Advance Auto Parts Inc,AAP,0.0185%,DGRW
236,Lithia Motors Inc,LAD,0.0181%,DGRW
237,MKS Instruments Inc,MKSI,0.018%,DGRW
238,Exponent Inc,EXPO,0.0177%,DGRW
239,Cabot Microelectronics Corp,CCMP,0.0174%,DGRW
240,Ormat Technologies Inc,ORA,0.0168%,DGRW
241,Pinnacle Financial Partners Inc,PNFP,0.0156%,DGRW
242,Curtiss-Wright Corp,CW,0.0153%,DGRW
243,Bruker Corp,BRKR,0.0146%,DGRW
244,Littelfuse Inc,LFUS,0.0145%,DGRW
245,Universal Display Corp,OLED,0.0145%,DGRW
246,EMCOR Group Inc,EME,0.0137%,DGRW
247,Cooper Companies Inc,COO,0.0136%,DGRW
248,Churchill Downs Inc,CHDN,0.0135%,DGRW
249,Cigna Corp,CI,0.0134%,DGRW
250,Quanta Services Inc,PWR,0.0129%,DGRW
251,Woodward Inc,WWD,0.0128%,DGRW
252,KBR Inc,KBR,0.012%,DGRW
253,Brooks Automation Inc,BRKS,0.0115%,DGRW
254,HEICO Corp,HEI.A,0.0108%,DGRW
255,J & J Snack Foods Corp,JJSF,0.0105%,DGRW
256,Sanderson Farms Inc,SAFM,0.0097%,DGRW
257,Aaron's Inc,AAN,0.0093%,DGRW
258,HEICO Corp,HEI,0.0085%,DGRW
259,Conmed Corp,CNMD,0.0063%,DGRW
260,Textron Inc,TXT,0.006%,DGRW
261,Parsley Energy Inc,PE,0.0058%,DGRW
262,Brinks Co,BCO,0.0049%,DGRW
263,Acuity Brands Inc,AYI,0.0041%,DGRW
264,Spirit AeroSystems Holdings Inc,SPR,0.0039%,DGRW
265,UnitedHealth Group Inc,UNH,7.2905%,DIA
266,Home Depot Inc,HD,6.5225%,DIA
267,Amgen Inc,AMGN,5.9518%,DIA
268,Salesforce.Com Inc,CRM,5.9314%,DIA
269,Mcdonald's Corp,MCD,5.2418%,DIA
270,Microsoft Corp,MSFT,4.968%,DIA
271,Visa Inc,V,4.7806%,DIA
272,Goldman Sachs Group Inc,GS,4.7171%,DIA
273,Honeywell International Inc,HON,3.9433%,DIA
274,Boeing Co,BA,3.9215%,DIA
275,3M Co,MMM,3.8307%,DIA
276,Caterpillar Inc,CAT,3.5334%,DIA
277,Johnson & Johnson,JNJ,3.525%,DIA
278,Procter & Gamble Co,PG,3.2901%,DIA
279,Walmart Inc,WMT,3.2873%,DIA
280,Nike Inc,NKE,3.0286%,DIA
281,Walt Disney Co,DIS,3.0059%,DIA
282,International Business Machines Corp,IBM,2.8989%,DIA
283,Apple Inc,AAPL,2.7348%,DIA
284,Travelers Companies Inc,TRV,2.5753%,DIA
285,American Express Co,AXP,2.3431%,DIA
286,JPMorgan Chase & Co,JPM,2.2856%,DIA
287,Merck & Co Inc,MRK,1.9632%,DIA
288,Chevron Corp,CVX,1.7235%,DIA
289,Verizon Communications Inc,VZ,1.42%,DIA
290,Intel Corp,INTC,1.227%,DIA
291,Coca-Cola Co,KO,1.1726%,DIA
292,Dow Inc,DOW,1.1163%,DIA
293,Cisco Systems Inc,CSCO,0.9363%,DIA
294,Walgreens Boots Alliance Inc,WBA,0.8481%,DIA
295,Cash Component,CASH,-0.0141%,DIA
296,Cash Component,CASH,1.7132%,DIM
297,SSE PLC,SSE,1.2127%,DIM
298,Persimmon PLC,PSN,1.0722%,DIM
299,Danske Bank A/S,DANSKE,0.8252%,DIM
300,EDP Energias de Portugal SA,EDP,0.795%,DIM
301,UPM-Kymmene Oyj,UPM,0.7817%,DIM
302,Telefonica Deutschland Holding AG,O2D,0.7237%,DIM
303,NN Group NV,NN,0.6184%,DIM
304,Ems Chemie Holding AG,EMSN,0.6138%,DIM
305,Japan Exchange Group Inc,8697,0.6038%,DIM
306,EVRAZ plc,EVR,0.5922%,DIM
307,Pandora A/S,PNDORA,0.5605%,DIM
308,Power Assets Holdings Ltd,6,0.5576%,DIM
309,Admiral Group PLC,ADM,0.5336%,DIM
310,Standard Life Aberdeen PLC,SLA,0.5225%,DIM
311,Sekisui House Ltd,1928,0.5141%,DIM
312,Evonik Industries AG,EVK,0.5086%,DIM
313,Fujitsu Ltd,6702,0.4933%,DIM
314,Covestro AG,1COV,0.4834%,DIM
315,Terna Rete Elettrica Nazionale SpA,TRN,0.4762%,DIM
316,Suez SA,SEV,0.4717%,DIM
317,Ono Pharmaceutical Co Ltd,4528,0.4523%,DIM
318,Hang Lung Properties Ltd,101,0.4469%,DIM
319,Stora Enso Oyj,STERV,0.4434%,DIM
320,Poste Italiane SpA,PST,0.4424%,DIM
321,Veolia Environnement SA,VIE,0.4417%,DIM
322,Antofagasta PLC,ANTO,0.4381%,DIM
323,Nomura Research Institute Ltd,4307,0.4297%,DIM
324,UnipolSai Assicurazioni SpA,US,0.4232%,DIM
325,Red Electrica Corporacion SA,REE,0.4207%,DIM
326,Marubeni Corp,8002,0.4192%,DIM
327,Mitsubishi Chemical Holdings Corp,4188,0.3999%,DIM
328,Oracle Corp Japan,4716,0.3951%,DIM
329,China Resources Power Holdings Co Ltd,836,0.3942%,DIM
330,Elisa Oyj,ELISA,0.391%,DIM
331,TDK Corp,6762,0.3884%,DIM
332,Mowi ASA,MOWI,0.3819%,DIM
333,Koninklijke KPN NV,KPN,0.3792%,DIM
334,Nippon Paint Holdings Co Ltd,4612,0.3773%,DIM
335,Sompo Holdings Inc,8630,0.377%,DIM
336,STMicroelectronics NV,STM,0.3714%,DIM
337,Swedish Match AB,SWMA,0.3708%,DIM
338,Gjensidige Forsikring ASA,GJF,0.3663%,DIM
339,Daifuku Co Ltd,6383,0.3568%,DIM
340,Ageas SA,AGS,0.3567%,DIM
341,Resona Holdings Inc,8308,0.353%,DIM
342,Spark New Zealand Ltd,SPK,0.3518%,DIM
343,Advantest Corp,6857,0.3457%,DIM
344,AGL Energy Ltd,AGL,0.3423%,DIM
345,Nissin Foods Holdings Co Ltd,2897,0.3396%,DIM
346,Meridian Energy Ltd,MEL,0.3387%,DIM
347,Guangdong Investment Ltd,270,0.3377%,DIM
348,Solvay SA,SOLB,0.3372%,DIM
349,Uniper SE,UN01,0.3361%,DIM
350,Aisin Seiki Co Ltd,7259,0.3359%,DIM
351,Sino Land Co Ltd,83,0.3337%,DIM
352,United Utilities Group PLC,UU.,0.3334%,DIM
353,Phoenix Group Holdings PLC,PHNX,0.332%,DIM
354,Singapore Exchange Ltd,S68,0.3318%,DIM
355,Orkla ASA,ORK,0.3305%,DIM
356,Valeo SA,FR,0.3293%,DIM
357,Suncorp Group Ltd,SUN,0.3288%,DIM
358,South32 Ltd,S32,0.3274%,DIM
359,CNP Assurances SA,CNP,0.3271%,DIM
360,APA Group,APA,0.3236%,DIM
361,HeidelbergCement AG,HEI,0.3233%,DIM
362,Fosun International Ltd,656,0.3227%,DIM
363,Mediobanca Banca di Credito Finanziario SpA,MB,0.3215%,DIM
364,Lenovo Group Ltd,992,0.3183%,DIM
365,Proximus NV,PROX,0.3173%,DIM
366,Asahi Kasei Corp,3407,0.3157%,DIM
367,Julius Baer Gruppe AG,BAER,0.314%,DIM
368,Kansai Electric Power Co Inc,9503,0.3134%,DIM
369,Adecco Group AG,ADEN,0.3133%,DIM
370,SEGRO PLC,SGRO,0.3131%,DIM
371,Daito Trust Construction Co Ltd,1878,0.3114%,DIM
372,Banca Mediolanum SpA,BMED,0.3113%,DIM
373,Aker BP ASA,AKERBP,0.3102%,DIM
374,Sonic Healthcare Ltd,SHL,0.3098%,DIM
375,Brenntag AG,BNR,0.3089%,DIM
376,Sinotruk Hong Kong Ltd,3808,0.3087%,DIM
377,Toyota Tsusho Corp,8015,0.3072%,DIM
378,Kesko Oyj,KESKOB,0.3034%,DIM
379,Alumina Ltd,AWC,0.3001%,DIM
380,Sunrise Communications Group AG,SRCG,0.2993%,DIM
381,Ashtead Group PLC,AHT,0.299%,DIM
382,ICA Gruppen AB,ICA,0.2965%,DIM
383,Galp Energia SGPS SA,GALP,0.2964%,DIM
384,Severn Trent PLC,SVT,0.295%,DIM
385,Kyowa Kirin Co Ltd,4151,0.2941%,DIM
386,Enagas SA,ENG,0.2925%,DIM
387,Sumitomo Mitsui Trust Holdings Inc,8309,0.2924%,DIM
388,Tryg A/S,TRYG,0.2919%,DIM
389,ASX Ltd,ASX,0.2914%,DIM
390,Japan Post Insurance Co Ltd,7181,0.2912%,DIM
391,AB Skf,SKF.B,0.2891%,DIM
392,QBE Insurance Group Ltd,QBE,0.2877%,DIM
393,Haseko Corp,1808,0.2865%,DIM
394,Sumitomo Electric Industries Ltd,5802,0.285%,DIM
395,LIXIL Group Corp,5938,0.2845%,DIM
396,DWS Group GmbH & Co KgaA,DWS,0.2825%,DIM
397,Talanx AG,TLX,0.2819%,DIM
398,Daiwa Securities Group Inc,8601,0.2794%,DIM
399,Omron Corp,6645,0.2784%,DIM
400,Meiji Holdings Co Ltd,2269,0.2764%,DIM
401,Boliden AB,BOL,0.2755%,DIM
402,Fresnillo PLC,FRES,0.2742%,DIM
403,China Jinmao Holdings Group Ltd,817,0.274%,DIM
404,CSPC Pharmaceutical Group Ltd,1093,0.2728%,DIM
405,LEG Immobilien AG,LEG,0.2727%,DIM
406,Recordati Industria Chimica e Farmaceutica SpA,REC,0.2718%,DIM
407,Rohm Co Ltd,6963,0.271%,DIM
408,Insurance Australia Group Ltd,IAG,0.2704%,DIM
409,Nomura Holdings Inc,8604,0.2698%,DIM
410,J Sainsbury PLC,SBRY,0.269%,DIM
411,Suntory Beverage & Food Ltd,2587,0.269%,DIM
412,Aurizon Holdings Ltd,AZJ,0.2678%,DIM
413,Schroders PLC,SDR,0.2673%,DIM
414,Publicis Groupe SA,PUB,0.2669%,DIM
415,Chubu Electric Power Co Inc,9502,0.2644%,DIM
416,Mondi PLC,MNDI,0.2634%,DIM
417,Pennon Group PLC,PNN,0.2631%,DIM
418,Merck KGaA,MRK,0.2621%,DIM
419,Bandai Namco Holdings Inc,7832,0.2619%,DIM
420,Singapore Technologies Engineering Ltd,S63,0.2589%,DIM
421,St. James's Place PLC,STJ,0.2582%,DIM
422,Investment AB Latour,LATO.B,0.2571%,DIM
423,Hitachi Construction Machinery Co Ltd,6305,0.2555%,DIM
424,Brambles Ltd,BXB,0.2535%,DIM
425,SJM Holdings Ltd,880,0.2511%,DIM
426,Tokyo Gas Co Ltd,9531,0.2465%,DIM
427,Euronext NV,ENX,0.246%,DIM
428,Taisei Corp,1801,0.2455%,DIM
429,Teleperformance SE,TEP,0.2433%,DIM
430,ACS Actividades de Construccion y Servicios SA,ACS,0.2408%,DIM
431,Tele2 AB,TEL2.B,0.2407%,DIM
432,Magellan Financial Group Ltd,MFG,0.2395%,DIM
433,H Lundbeck A/S,LUN,0.2361%,DIM
434,Nitto Denko Corp,6988,0.236%,DIM
435,Capitaland Ltd,C31,0.2356%,DIM
436,Sekisui Chemical Co Ltd,4204,0.2336%,DIM
437,Arkema SA,AKE,0.2311%,DIM
438,Klepierre SA,LI,0.2293%,DIM
439,Techtronic Industries Co Ltd,669,0.2292%,DIM
440,Jeronimo Martins SGPS SA,JMT,0.228%,DIM
441,Novozymes A/S,NZYM.B,0.2279%,DIM
442,Fisher & Paykel Healthcare Corporation Ltd,FPH,0.2273%,DIM
443,voestalpine AG,VOE,0.2256%,DIM
444,Intertek Group PLC,ITRK,0.2254%,DIM
445,Kion Group AG,KGX,0.2249%,DIM
446,Mapfre SA,MAP,0.2239%,DIM
447,Sumitomo Metal Mining Co Ltd,5713,0.2237%,DIM
448,Dai Nippon Printing Co Ltd,7912,0.2219%,DIM
449,Iida Group Holdings Co Ltd,3291,0.2215%,DIM
450,Logitech International SA,LOGN,0.2212%,DIM
451,GEA Group AG,G1A,0.2209%,DIM
452,Genting Singapore Ltd,G13,0.2208%,DIM
453,Ajinomoto Co Inc,2802,0.2203%,DIM
454,Coca-Cola Amatil Ltd,CCL,0.2197%,DIM
455,Shimizu Corp,1803,0.2182%,DIM
456,Trend Micro Inc,4704,0.2169%,DIM
457,Aristocrat Leisure Ltd,ALL,0.2167%,DIM
458,Orion Oyj,ORNBV,0.2166%,DIM
459,T&D Holdings Inc,8795,0.2165%,DIM
460,Dentsu Group Inc,4324,0.2155%,DIM
461,AGC Inc,5201,0.2142%,DIM
462,SIG Combibloc Group AG,SIGN,0.2135%,DIM
463,Ramsay Health Care Ltd,RHC,0.2131%,DIM
464,Bank Leumi Le Israel BM,LUMI,0.2131%,DIM
465,Edenred SA,EDEN,0.2121%,DIM
466,Yamaha Motor Co Ltd,7272,0.2113%,DIM
467,Nippon Express Co Ltd,9062,0.2112%,DIM
468,Sun Art Retail Group Ltd,6808,0.211%,DIM
469,Osaka Gas Co Ltd,9532,0.2098%,DIM
470,Hochtief AG,HOT,0.2097%,DIM
471,Wharf Holdings Ltd,4,0.2093%,DIM
472,AusNet Services Ltd,AST,0.2088%,DIM
473,Axfood AB,AXFO,0.2087%,DIM
474,Sumitomo Chemical Co Ltd,4005,0.2069%,DIM
475,Swatch Group AG,UHR,0.2067%,DIM
476,Koninklijke Vopak NV,VPK,0.2061%,DIM
477,Baloise Holding AG,BALN,0.2045%,DIM
478,Tabcorp Holdings Ltd,TAH,0.2035%,DIM
479,Crown Resorts Ltd,CWN,0.203%,DIM
480,Scor SE,SCR,0.2029%,DIM
481,Symrise AG,SY1,0.2024%,DIM
482,Mitsubishi Gas Chemical Co Inc,4182,0.2023%,DIM
483,Sage Group PLC,SGE,0.2009%,DIM
484,Keppel Corporation Ltd,BN4,0.2009%,DIM
485,Sumco Corp,3436,0.2008%,DIM
486,Bankia SA,BKIA,0.1997%,DIM
487,Obayashi Corp,1802,0.1995%,DIM
488,Tokyo Century Corp,8439,0.1994%,DIM
489,Sonova Holding AG,SOON,0.1982%,DIM
490,VAT Group AG,VACN,0.1981%,DIM
491,Inpex Corp,1605,0.1947%,DIM
492,Warehouses de Pauw NV,WDP,0.1941%,DIM
493,Epiroc AB,EPI.A,0.1939%,DIM
494,Icade SA,ICAD,0.1934%,DIM
495,Yamato Holdings Co Ltd,9064,0.193%,DIM
496,Nissan Chemical Corp,4021,0.1923%,DIM
497,Koito Manufacturing Co Ltd,7276,0.1917%,DIM
498,ASR Nederland NV,ASRNL,0.1916%,DIM
499,Isuzu Motors Ltd,7202,0.1905%,DIM
500,Nokian Tyres plc,TYRES,0.1897%,DIM
501,SG Holdings Co Ltd,9143,0.1893%,DIM
502,Banca Generali SpA,BGN,0.1889%,DIM
503,BAWAG Group AG,BG,0.1889%,DIM
504,Prysmian SpA,PRY,0.1888%,DIM
505,Otsuka Corp,4768,0.1886%,DIM
506,Italgas SpA,IG,0.1859%,DIM
507,ABC-Mart Inc,2670,0.1859%,DIM
508,Sartorius Stedim Biotech SA,DIM,0.1853%,DIM
509,SBI Holdings Inc,8473,0.1852%,DIM
