VTV: Vanguard Value ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	50578353
Shares Outstanding: 488161000
Expense Ratio: 0.04%
Tracks This Index: MSCI US Prime Market Value Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VTV


Holding,Symbol,Weighting
Republic Services Inc,RSG,0.1559%
Edison International,EIX,0.1556%
Ameren Corp,AEE,0.1556%
Entergy Corp,ETR,0.1553%
Marathon Petroleum Corp,MPC,0.1545%
Equity Residential,EQR,0.1538%
KKR & Co Inc,KKR,0.1465%
Ameriprise Financial Inc,AMP,0.1451%
Las Vegas Sands Corp,LVS,0.1443%
Laboratory Corporation of America Holdings,LH,0.144%
Valero Energy Corp,VLO,0.1425%
Blackstone Group Inc,BX,0.1424%
CMS Energy Corp,CMS,0.1416%
LyondellBasell Industries NV,LYB,0.1411%
Tyson Foods Inc,TSN,0.1388%
Hologic Inc,HOLX,0.1378%
Discover Financial Services,DFS,0.1375%
CDW Corp,CDW,0.1368%
Conagra Brands Inc,CAG,0.1329%
Kellogg Co,K,0.1323%
Dell Technologies Inc,DELL,0.132%
Ventas Inc,VTR,0.1282%
International Paper Co,IP,0.1275%
Dover Corp,DOV,0.1254%
ViacomCBS Inc,VIAC,0.1252%
FirstEnergy Corp,FE,0.1248%
Quest Diagnostics Inc,DGX,0.1229%
Northern Trust Corp,NTRS,0.1226%
W W Grainger Inc,GWW,0.1223%
Carmax Inc,KMX,0.1222%
Qorvo Inc,QRVO,0.1212%
Fifth Third Bancorp,FITB,0.1199%
Healthpeak Properties Inc,PEAK,0.117%
Synchrony Financial,SYF,0.1144%
Nasdaq Inc,NDAQ,0.1125%
CH Robinson Worldwide Inc,CHRW,0.1121%
Amerisourcebergen Corp,ABC,0.1114%
Cardinal Health Inc,CAH,0.1104%
Garmin Ltd,GRMN,0.11%
Duke Realty Corp,DRE,0.1099%
Motorola Solutions Inc,MSI,0.1096%
Nucor Corp,NUE,0.1088%
Ball Corp,BLL,0.1081%
Ingersoll Rand Inc,IR,0.108%
Essex Property Trust Inc,ESS,0.1079%
Genuine Parts Co,GPC,0.1061%
Hartford Financial Services Group Inc,HIG,0.1058%
Clorox Co,CLX,0.1056%
Darden Restaurants Inc,DRI,0.1051%
Hormel Foods Corp,HRL,0.1049%
Celanese Corp,CE,0.1032%
Alliant Energy Corp,LNT,0.1025%
Elanco Animal Health Inc,ELAN,0.1012%
United Rentals Inc,URI,0.1009%
J M Smucker Co,SJM,0.1003%
Hewlett Packard Enterprise Co,HPE,0.0971%
Jacobs Engineering Group Inc,J,0.0969%
AES Corp,AES,0.0966%
Cincinnati Financial Corp,CINF,0.0962%
ONEOK Inc,OKE,0.0958%
Fortune Brands Home & Security Inc,FBHS,0.0954%
Royal Caribbean Cruises Ltd,RCL,0.0945%
TransDigm Group Inc,TDG,0.0944%
NortonLifeLock Inc,NLOK,0.0942%
KeyCorp,KEY,0.0927%
Pultegroup Inc,PHM,0.0926%
Keurig Dr Pepper Inc,KDP,0.0921%
Evergy Inc,EVRG,0.091%
Whirlpool Corp,WHR,0.0907%
WP Carey Inc,WPC,0.0905%
Centurylink Inc,LUMN,0.0904%
Boston Properties Inc,BXP,0.0899%
Western Digital Corp,WDC,0.0896%
Arch Capital Group Ltd,ACGL,0.0892%
Seagate Technology PLC,STX,0.0889%
Principal Financial Group Inc,PFG,0.0882%
M&T Bank Corp,MTB,0.088%
Regions Financial Corp,RF,0.0878%
E*Trade Financial Corp,ETFC,0.0869%
Dollar Tree Inc,DLTR,0.0867%
EOG Resources Inc,EOG,0.0852%
Citizens Financial Group Inc,CFG,0.0851%
Omnicom Group Inc,OMC,0.0849%
Hasbro Inc,HAS,0.0847%
Packaging Corp of America,PKG,0.084%
TD Ameritrade Holding Corp,AMTD,0.0838%
Eastman Chemical Co,EMN,0.0834%
CenterPoint Energy Inc,CNP,0.0829%
Crown Holdings Inc,CCK,0.0825%
Advance Auto Parts Inc,AAP,0.082%
Avery Dennison Corp,AVY,0.0818%
Annaly Capital Management Inc,NLY,0.0803%
NetApp Inc,NTAP,0.0781%
Fox Corp,FOXA,0.0772%
Halliburton Co,HAL,0.0769%
Campbell Soup Co,CPB,0.076%
United Airlines Holdings Inc,UAL,0.0759%
DENTSPLY SIRONA Inc,XRAY,0.0759%
Occidental Petroleum Corp,OXY,0.0748%
Huntington Bancshares Inc,HBAN,0.0741%
Ally Financial Inc,ALLY,0.0736%
Vistra Corp,VST,0.073%
Raymond James Financial Inc,RJF,0.0726%
Western Union Co,WU,0.0723%
Westrock Co,WRK,0.0714%
Fidelity National Financial Inc,FNF,0.0694%
Camden Property Trust,CPT,0.069%
MGM Resorts International,MGM,0.0688%
Henry Schein Inc,HSIC,0.0678%
NiSource Inc,NI,0.0678%
Carnival Corp,CCL,0.0675%
Textron Inc,TXT,0.0667%
Loews Corp,L,0.066%
Baker Hughes Co,BKR,0.0659%
W. R. Berkley Corp,WRB,0.0659%
Borgwarner Inc,BWA,0.0631%
Iron Mountain Inc,IRM,0.062%
Snap-On Inc,SNA,0.0617%
Everest Re Group Ltd,RE,0.0617%
Xylem Inc,XYL,0.0614%
Globe Life Inc,GL,0.061%
CBRE Group Inc,CBRE,0.0596%
Equitable Holdings Inc,EQH,0.0595%
Universal Health Services Inc,UHS,0.0594%
Masco Corp,MAS,0.0585%
Tiffany & Co,TIF,0.0584%
DISH Network Corp,DISH,0.0584%
Juniper Networks Inc,JNPR,0.0582%
News Corp,NWSA,0.0568%
Draftkings Inc,DKNG,0.0559%
PG&E Corp,PCG,0.0551%
Extra Space Storage Inc,EXR,0.0538%
Martin Marietta Materials Inc,MLM,0.0535%
Mid-America Apartment Communities Inc,MAA,0.0534%
Leidos Holdings Inc,LDOS,0.0524%
International Flavors & Fragrances Inc,IFF,0.0516%
Discovery Inc,DISCK,0.0504%
DaVita Inc,DVA,0.0487%
Hess Corp,HES,0.0456%
Franklin Resources Inc,BEN,0.0441%
Liberty Media Corp,LSXMK,0.0436%
Cash Component,CASH,0.0399%
UDR Inc,UDR,0.0387%
Markel Corp,MKL,0.0374%
Albemarle Corp,ALB,0.0369%
Fox Corp,FOX,0.0354%
Pinnacle West Capital Corp,PNW,0.034%
XPO Logistics Inc,XPO,0.0332%
Hubbell Inc,HUBB,0.0317%
AGNC Investment Corp,AGNC,0.0312%
Mylan NV,MYL,0.0304%
Host Hotels & Resorts Inc,HST,0.0302%
F5 Networks Inc,FFIV,0.0287%
VEREIT Inc,VER,0.0279%
NRG Energy Inc,NRG,0.0275%
Liberty Broadband Corp,LBRDA,0.0275%
Discovery Inc,DISCA,0.0269%
Interpublic Group of Companies Inc,IPG,0.0263%
CF Industries Holdings Inc,CF,0.0254%
American Airlines Group Inc,AAL,0.0251%
Lear Corp,LEA,0.025%
Perrigo Company PLC,PRGO,0.0247%
Avangrid Inc,AGR,0.0247%
Aramark,ARMK,0.0245%
Vornado Realty Trust,VNO,0.0235%
Molson Coors Beverage Co,TAP,0.0233%
Lincoln National Corp,LNC,0.0227%
Federal Realty Investment Trust,FRT,0.0225%
Mohawk Industries Inc,MHK,0.0223%
Huntington Ingalls Industries Inc,HII,0.0218%
Liberty Media Corp,LSXMA,0.0217%
Alleghany Corp,Y,0.0201%
Rocket Companies Inc,RKT,0.0163%
Nikola Corporation,NKLA,0.011%
Diamondback Energy Inc,FANG,0.0096%
Westlake Chemical Corp,WLK,0.0072%
ViacomCBS Inc,VIACA,0.0024%
