EEM: iShares MSCI Emerging Markets ETF
Inception Date: 2003-04-11
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	23336744
Shares Outstanding: 539100000
Expense Ratio: 0.68%
Tracks This Index: MSCI Emerging Markets Index
ETFdb.com Category: Emerging Markets Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EEM


Holding,Symbol,Weighting
Bank of Communications Co Ltd,3328,0.0587%
Samsung Life Insurance Co Ltd,032830,0.058%
Sociedad Quimica y Minera de Chile SA,SQM-B,0.0575%
Tsingtao Brewery Co Ltd,168,0.0573%
Charoen Pokphand Foods PCL,CPF-R,0.0572%
Almarai Company SJSC,2280,0.0569%
Luxshare Precision Industry Co Ltd,002475,0.0569%
Cipla Ltd,CIPLA,0.0568%
Zhongsheng Group Holdings Ltd,881,0.0568%
BDO Unibank Inc,BDO,0.0566%
Dabur India Ltd,DABUR,0.0566%
Zijin Mining Group Co Ltd,2899,0.0565%
PTT Exploration and Production PCL,PTTEP-R,0.0562%
JG Summit Holdings Inc,JGS,0.0561%
Dialog Group Bhd,DIALOG,0.0561%
Tingyi (Cayman Islands) Holding Corp,322,0.056%
Want Want China Holdings Ltd,151,0.0556%
B2W Companhia Digital,BTOW3,0.0556%
Polski Koncern Naftowy Orlen SA,PKN,0.0553%
Vedanta Ltd,SSLT,0.0551%
Hanwha Solutions Corp,009830,0.055%
Hellenic Telecommunications Organization SA,HTO,0.055%
WuXi AppTec Co Ltd,2359,0.0547%
Surgutneftegaz PAO,SNGSP,0.0545%
Bharat Petroleum Corporation Ltd,BPCL,0.0543%
Divi's Laboratories Ltd,DIVI,0.0542%
Banco de Chile,CHILE,0.0539%
Telefonica Brasil SA,VIVT4,0.0537%
ICICI Lombard General Insurance Company Ltd,ICICIGI,0.0536%
China Resources Cement Holdings Ltd,1313,0.0535%
Savola Group Company SJSC,2050,0.0534%
Chang Hwa Commercial Bank Ltd,2801,0.0534%
WIN Semiconductors Corp,3105,0.0534%
Equatorial Energia SA,EQTL3,0.0532%
UPL Ltd,UPLL,0.0529%
Coway Co Ltd,021240,0.0528%
AU Optronics Corp,2409,0.0523%
Lite-On Technology Corp,2301,0.0518%
Formosa Petrochemical Corp,6505,0.0514%
Central Pattana PCL,CPN-R,0.051%
JSW Steel Ltd,JSWSTEEL,0.051%
Clicks Group Ltd,CLS,0.0509%
BYD Electronic International Co Ltd,285,0.0504%
Far EasTone Telecommunications Co Ltd,4904,0.0503%
Petronas Chemicals Group Bhd,PCHEM,0.0502%
Etihad Etisalat Company SJSC,7020,0.05%
Netmarble Corp,251270,0.0494%
Asia Cement Corp,1102,0.0493%
Richter Gedeon Vegyeszeti Gyar Nyrt,RICHTER,0.0491%
Micro-Star International Co Ltd,2377,0.049%
Bajaj Finserv Ltd,BJFIN,0.0487%
Aurobindo Pharma Ltd,ARBP,0.0485%
Hangzhou Hikvision Digital Technology Co Ltd,002415,0.0484%
China International Capital Corp Ltd,3908,0.0484%
Shin Kong Financial Holding Co Ltd,2888,0.0482%
LG Display Co Ltd,034220,0.0482%
Shenzhen Mindray Bio-Medical Electronics Co Ltd,300760,0.0481%
Discovery Ltd,DSY,0.0479%
Lupin Ltd,LPC,0.0478%
Arab National Bank,1080,0.0478%
Grupo Aeroportuario del Pacifico SAB de CV,GAPB,0.0476%
Digi.Com Bhd,DIGI,0.0475%
Info Edge (India) Ltd,INFOE,0.0474%
China Jinmao Holdings Group Ltd,817,0.0472%
Fosun International Ltd,656,0.0472%
Britannia Industries Ltd,BRITANNIA,0.0472%
CITIC Securities Co Ltd,600030,0.0469%
CEZ as,CEZ,0.0469%
Bancolombia SA,PFBCOLOM,0.0468%
Kasikornbank PCL,KBANK-F,0.0467%
Vanguard International Semiconductor Corp,5347,0.0466%
Dino Polska SA,DNP,0.0466%
Klabin SA,KLBN11,0.0466%
Supermax Corporation Bhd,SUPERMX,0.0465%
BB Seguridade Participacoes SA,BBSE3,0.0464%
China Citic Bank Corp Ltd,998,0.0464%
Tata Motors Ltd,TTMT,0.0461%
Tata Consumer Products Ltd,TATACONSUM,0.0461%
Petronas Gas Bhd,PETGAS,0.0461%
Grupo Televisa SAB,TLEVISACPO,0.046%
Grupo Bimbo SAB de CV,BIMBOA,0.0459%
Charoen Pokphand Indonesia Tbk PT,CPIN,0.0459%
Grasim Industries Ltd,GRASIM,0.0458%
Globalwafers Co Ltd,6488,0.0457%
Banco BTG Pactual SA,BPAC11,0.0456%
Old Mutual Ltd,OMU,0.0455%
PPB Group Bhd,PPB,0.0455%
Lotte Chemical Corp,011170,0.0455%
Industrial Bank Co Ltd,601166,0.0454%
Maxis Bhd,MAXIS,0.0454%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,SBSP3,0.0454%
China Minsheng Banking Corp Ltd,1988,0.0451%
Wistron Corp,3231,0.0451%
Home Product Center PCL,HMPRO-R,0.045%
Brilliance China Automotive Holdings Ltd,1114,0.0448%
New China Life Insurance Co Ltd,1336,0.0448%
Sinopharm Group Co Ltd,1099,0.0448%
Remgro Ltd,REM,0.0447%
IHH Healthcare Bhd,IHH,0.0447%
PTT Global Chemical PCL,PTTGC-R,0.0447%
Hyundai Motor Co,005387,0.0447%
Giant Manufacturing Co Ltd,9921,0.0446%
Jarir Marketing Company SJSC,4190,0.0445%
CJ CheilJedang Corp,097950,0.0445%
Emaar Properties PJSC,EMAAR,0.0442%
Korea Zinc Inc,010130,0.0441%
CCR SA,CCRO3,0.0438%
Bajaj Auto Ltd,BJAUT,0.0437%
Hindalco Industries Ltd,HNDL,0.0436%
Empresas Copec SA,COPEC,0.0435%
Harmony Gold Mining Company Ltd,HAR,0.0435%
Aspen Pharmacare Holdings Ltd,APN,0.0433%
Orion Corp,271560,0.0433%
Korea Shipbuilding & Offshore Engineering Co Ltd,009540,0.0432%
Wharf Holdings Ltd,4,0.043%
Alteogen Inc,196170,0.0429%
Bandhan Bank Ltd,BANDHANBNK,0.0428%
Petrobras Distribuidora SA,BRDT3,0.0425%
Reinet Investments SCA,RNI,0.0425%
Inter RAO YEES PAO,IRAO,0.0424%
Sime Darby Plantation Bhd,SIMEPLT,0.0422%
Innolux Corp,3481,0.0422%
Yuhan Corp,000100,0.042%
Compania de Minas Buenaventura SAA,BVN,0.0419%
Airtac International Group,1590,0.0418%
NTPC Ltd,NTPC,0.0417%
Sun Art Retail Group Ltd,6808,0.0416%
Korea Investment Holdings Co Ltd,071050,0.0414%
Novolipetsk Steel PAO,NLMK,0.0413%
Surgutneftegaz PAO,SNGS,0.0409%
Mesaieed Petrochemical Holding Co QSC,MPHC,0.0406%
United Tractors Tbk PT,UNTR,0.0406%
Ultrapar Participacoes SA,UGPA3,0.0405%
Far Eastern New Century Corp,1402,0.0405%
Ping An Bank Co Ltd,000001,0.0404%
Kingboard Holdings Ltd,148,0.0403%
Moskovskaya Birzha MMVB-RTS PAO,MOEX,0.0403%
LONGi Green Energy Technology Co Ltd,601012,0.0402%
Muyuan Foods Co Ltd,002714,0.0401%
Industrial and Commercial Bank of China Ltd,601398,0.04%
Severstal' PAO,CHMF,0.0399%
Kunlun Energy Company Ltd,135,0.0397%
China Taiping Insurance Holdings Co Ltd,966,0.0397%
China Vanke Co Ltd,000002,0.0395%
China Communications Construction Co Ltd,1800,0.0395%
SINA Corp,SINA,0.0395%
Compal Electronics Inc,2324,0.0394%
Huatai Securities Co Ltd,6886,0.0393%
Universal Robina Corp,URC,0.0393%
Ecopetrol SA,ECOPETROL,0.0392%
Kuala Lumpur Kepong Bhd,KLK,0.039%
People's Insurance Company Group of China Ltd,1339,0.039%
Zhen Ding Technology Holding Ltd,4958,0.0389%
Hiwin Technologies Corp,2049,0.0389%
Hong Leong Bank Bhd,HLBANK,0.0388%
Nestle (Malaysia) Bhd,NESTLE,0.0387%
Acer Inc,2353,0.0387%
Saudi Kayan Petrochemical Company SJSC,2350,0.0387%
Hapvida Participacoes e Investimentos SA,HAPV3,0.0386%
MultiChoice Group Ltd,MCG,0.0386%
Qatar Electricity and Water Company QPSC,QEWS,0.0385%
Nanya Technology Corp,2408,0.0385%
Fibra Uno Administracion SA de CV,FUNO11,0.0384%
Guangzhou Automobile Group Co Ltd,2238,0.0383%
Qatar Fuel Company QPSC,QFLS,0.0382%
PLDT Inc,TEL,0.0381%
Shinpoong Pharmaceutical Co Ltd,019170,0.038%
Zee Entertainment Enterprises Ltd,Z,0.038%
Grupo Aeroportuario del Sureste SAB de CV,ASURB,0.0379%
Pidilite Industries Ltd,PIDI,0.0377%
Eclat Textile Co Ltd,1476,0.0377%
Cheng Shin Rubber Ind. Co Ltd,2105,0.0376%
Kimberly-Clark de Mexico SAB de CV,KIMBERA,0.0376%
Feng Tay Enterprises Co Ltd,9910,0.0376%
Jubilant Foodworks Ltd,JUBI,0.0376%
Interconnection Electric SA ESP,ISA,0.0374%
Shree Cement Ltd,SRCM,0.0372%
Shanghai Pudong Development Bank Co Ltd,600000,0.0371%
Hyundai Glovis Co Ltd,086280,0.037%
Bank Polska Kasa Opieki SA,PEO,0.037%
Haitong Securities Co Ltd,6837,0.0369%
Bank Albilad Sjsc,1140,0.0367%
Adani Ports and Special Economic Zone Ltd,ADSEZ,0.0367%
Gruma SAB de CV,GRUMAB,0.0366%
E-Mart Inc,139480,0.0366%
Oil and Natural Gas Corporation Ltd,ONGC,0.0365%
Empresas CMPC SA,CMPC,0.0365%
AK Alrosa PAO,ALRS,0.0364%
LPP SA,LPP,0.0361%
China Literature Ltd,772,0.0361%
Banco Santander-Chile,BSANTANDER,0.0358%
Havells India Ltd,HAVL,0.0358%
Mirae Asset Daewoo Co Ltd,006800,0.0358%
Bank Negara Indonesia (Persero) Tbk PT,BBNI,0.0357%
IOI Corporation Bhd,IOICORP,0.0357%
Misc Bhd,MISC,0.0356%
Commercial Bank PSQC,CBQK,0.0355%
Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,0.0354%
MOL Magyar Olajes Gazipari Nyrt,MOL,0.0354%
China Feihe Ltd,6186,0.0353%
Gulf Energy Development PCL,GULF-R,0.0352%
BTS Group Holdings PCL,BTS-R,0.0352%
International Container Terminal Services Inc,ICT,0.0351%
Logan Group Co Ltd,3380,0.0351%
A-Living Services Co Ltd,3319,0.035%
Bidvest Group Ltd,BVT,0.0349%
CIFI Holdings (Group) Co Ltd,884,0.0347%
Agricultural Bank of China Ltd,601288,0.0347%
KWG Group Holdings Ltd,1813,0.0346%
WuXi AppTec Co Ltd,603259,0.0346%
Hutchison China MediTech Ltd,HCM,0.0346%
Kalbe Farma Tbk PT,KLBF,0.0345%
Powertech Technology Inc,6239,0.0345%
Falabella SA,FALABELLA,0.0344%
Industrias Penoles SAB de CV,PE&OLES*,0.0344%
Anhui Conch Cement Co Ltd,600585,0.0343%
Samsung Heavy Industries Co Ltd,010140,0.0342%
Taiwan High Speed Rail Corp,2633,0.0342%
Nedbank Group Ltd,NED,0.0341%
China Everbright Environment Group Ltd,257,0.0341%
Aldar Properties PJSC,ALDAR,0.034%
Bangkok Expressway and Metro PCL,BEM-R,0.0339%
China Resources Power Holdings Co Ltd,836,0.0339%
51job Inc,JOBS,0.0339%
Dubai Islamic Bank PJSC,DIB,0.0338%
Marico Ltd,MRCO,0.0338%
LG Chem Ltd,051915,0.0336%
WPG Holdings Ltd,3702,0.0335%
Pou Chen Corp,9904,0.0334%
Cencosud SA,CENCOSUD,0.0334%
Nine Dragons Paper (Holdings) Ltd,2689,0.0334%
SPAR Group Ltd,SPP,0.0332%
Kangwon Land Inc,035250,0.0331%
Momo Inc,MOMO,0.0329%
Turkcell Iletisim Hizmetleri AS,TCELL,0.0329%
United Spirits Ltd,MCDOWELL-N,0.0328%
Luzhou Laojiao Co Ltd,000568,0.0326%
S.F. Holding Co Ltd,002352,0.0325%
Hotel Shilla Co Ltd,008770,0.0324%
Indofood Sukses Makmur Tbk PT,INDF,0.0324%
Wanhua Chemical Group Co Ltd,600309,0.0324%
Woolworths Holdings Ltd,WHL,0.0324%
TravelSky Technology Ltd,696,0.0324%
Beijing Enterprises Water Group Ltd,371,0.0323%
Hyundai Engineering & Construction Co Ltd,000720,0.0321%
Sul America SA,SULA11,0.0321%
Growthpoint Properties Ltd,GRT,0.0321%
China Galaxy Securities Co Ltd,6881,0.032%
Hypera SA,HYPE3,0.032%
Coca-Cola Femsa SAB de CV,KOFUBL,0.032%
