VUG: Vanguard Growth ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	60166261
Shares Outstanding: 266058000
Expense Ratio: 0.04%
Tracks This Index: MSCI US Prime Market Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VUG


Holding,Symbol,Weighting
Marketaxess Holdings Inc,MKTX,0.1116%
Maxim Integrated Products Inc,MXIM,0.1104%
Akamai Technologies Inc,AKAM,0.1102%
Blackstone Group Inc,BX,0.1082%
Vulcan Materials Co,VMC,0.108%
Kansas City Southern,KSU,0.1067%
Cooper Companies Inc,COO,0.1062%
Domino's Pizza Inc,DPZ,0.1049%
Citrix Systems Inc,CTXS,0.1042%
Alnylam Pharmaceuticals Inc,ALNY,0.1026%
Tractor Supply Co,TSCO,0.0997%
Fortinet Inc,FTNT,0.0994%
Incyte Corp,INCY,0.099%
TransUnion,TRU,0.0988%
Varian Medical Systems Inc,VAR,0.0974%
Invitation Homes Inc,INVH,0.0961%
Carvana Co,CVNA,0.096%
Teleflex Inc,TFX,0.095%
Expeditors International of Washington Inc,EXPD,0.094%
Exact Sciences Corp,EXAS,0.0938%
Broadridge Financial Solutions Inc,BR,0.0932%
Paycom Software Inc,PAYC,0.0914%
Datadog Inc,DDOG,0.0901%
Pioneer Natural Resources Co,PXD,0.0871%
Biomarin Pharmaceutical Inc,BMRN,0.0847%
Sun Communities Inc,SUI,0.0844%
FMC Corp,FMC,0.0838%
Ball Corp,BLL,0.083%
Clorox Co,CLX,0.0819%
SS&C Technologies Holdings Inc,SSNC,0.0813%
Motorola Solutions Inc,MSI,0.0809%
Black Knight Inc,BKI,0.08%
GoDaddy Inc,GDDY,0.0781%
TransDigm Group Inc,TDG,0.0779%
ABIOMED Inc,ABMD,0.0771%
Factset Research Systems Inc,FDS,0.0768%
Expedia Group Inc,EXPE,0.0763%
SVB Financial Group,SIVB,0.0755%
Trimble Inc,TRMB,0.0753%
Ulta Beauty Inc,ULTA,0.0749%
Waters Corp,WAT,0.0718%
NVR Inc,NVR,0.0708%
Westinghouse Air Brake Technologies Corp,WAB,0.0696%
VMware Inc,VMW,0.0696%
Cheniere Energy Inc,LNG,0.0678%
Slack Technologies Inc,WORK,0.0677%
Arista Networks Inc,ANET,0.067%
J B Hunt Transport Services Inc,JBHT,0.066%
Dollar Tree Inc,DLTR,0.0652%
EOG Resources Inc,EOG,0.0647%
Gartner Inc,IT,0.0642%
Peloton Interactive Inc,PTON,0.0604%
IAC/Interactivecorp,IAC,0.0589%
Cboe Global Markets Inc,CBOE,0.0584%
Coupa Software Inc,COUP,0.0582%
Lamb Weston Holdings Inc,LW,0.0577%
Altice USA Inc,ATUS,0.054%
Teladoc Health Inc,TDOC,0.0538%
Concho Resources Inc,CXO,0.0534%
Epam Systems Inc,EPAM,0.0518%
Rollins Inc,ROL,0.0492%
Live Nation Entertainment Inc,LYV,0.0462%
Xylem Inc,XYL,0.0459%
Snowflake Inc.,SNOW,0.0458%
CBRE Group Inc,CBRE,0.0455%
Martin Marietta Materials Inc,MLM,0.045%
Zillow Group Inc,Z,0.0448%
Masco Corp,MAS,0.0447%
LKQ Corp,LKQ,0.044%
Tiffany & Co,TIF,0.0433%
Tyler Technologies Inc,TYL,0.0429%
Wynn Resorts Ltd,WYNN,0.0427%
Draftkings Inc,DKNG,0.0424%
Extra Space Storage Inc,EXR,0.0417%
International Flavors & Fragrances Inc,IFF,0.0408%
Mid-America Apartment Communities Inc,MAA,0.0408%
Burlington Stores Inc,BURL,0.0398%
HEICO Corp,HEI.A,0.0392%
Lyft Inc,LYFT,0.0379%
Jack Henry & Associates Inc,JKHY,0.0373%
IPG Photonics Corp,IPGP,0.0357%
Dropbox Inc,DBX,0.0352%
Sirius XM Holdings Inc,SIRI,0.0349%
Hess Corp,HES,0.0345%
Markel Corp,MKL,0.0343%
Cognex Corp,CGNX,0.0322%
PPD Inc,PPD,0.0298%
Zscaler Inc,ZS,0.0298%
UDR Inc,UDR,0.0292%
Albemarle Corp,ALB,0.0277%
Vail Resorts Inc,MTN,0.0265%
HEICO Corp,HEI,0.0259%
Chewy Inc,CHWY,0.0243%
Interactive Brokers Group Inc,IBKR,0.0221%
SEI Investments Co,SEIC,0.0208%
Regency Centers Corp,REG,0.0194%
ZoomInfo Technologies Inc,ZI,0.0169%
Warner Music Group Corp,WMG,0.014%
Zillow Group Inc,ZG,0.0126%
Cash Component,CASH,0.0113%
Nikola Corporation,NKLA,0.0082%
Diamondback Energy Inc,FANG,0.0077%
