VYM: Vanguard High Dividend Yield ETF
Inception Date: 2006-11-16
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	26210954
Shares Outstanding: 326413000
Expense Ratio: 0.06%
Tracks This Index: FTSE High Dividend Yield Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VYM


Holding,Symbol,Weighting
Artisan Partners Asset Management Inc,APAM,0.0212%
Federated Hermes Inc,FHI,0.0212%
BankUnited Inc,BKU,0.0205%
Old National Bancorp,ONB,0.0205%
Compass Minerals International Inc,CMP,0.0205%
PacWest Bancorp,PACW,0.0202%
South Jersey Industries Inc,SJI,0.0201%
Patterson Companies Inc,PDCO,0.02%
Bank of Hawaii Corp,BOH,0.0199%
Triton International Ltd,TRTN,0.0198%
Cabot Corp,CBT,0.0197%
Telephone and Data Systems Inc,TDS,0.0197%
OneMain Holdings Inc,OMF,0.0197%
First Hawaiian Inc,FHB,0.0195%
Associated Banc-Corp,ASB,0.0193%
BancorpSouth Bank,BXS,0.0191%
Big Lots Inc,BIG,0.0188%
Moelis & Co,MC,0.0187%
Kennedy-Wilson Holdings Inc,KW,0.0181%
B&G Foods Inc,BGS,0.018%
Columbia Banking System Inc,COLB,0.0176%
Olin Corp,OLN,0.0176%
Assured Guaranty Ltd,AGO,0.0175%
Independent Bank Group Inc,IBTX,0.0173%
CIT Group Inc,CIT,0.0172%
Simmons First National Corp,SFNC,0.0171%
Investors Bancorp Inc,ISBC,0.017%
Atlantica Sustainable Infrastructure PLC,AY,0.0168%
Hancock Whitney Corp,HWC,0.0168%
Atlantic Union Bankshares Corp,AUB,0.0168%
Cathay General Bancorp,CATY,0.0162%
Antero Midstream Corp,AM,0.0162%
Medifast Inc,MED,0.0161%
Navient Corp,NAVI,0.0161%
Pacific Premier Bancorp Inc,PPBI,0.0161%
Healthcare Services Group Inc,HCSG,0.016%
Washington Federal Inc,WAFD,0.0155%
Walker & Dunlop Inc,WD,0.0153%
Helmerich and Payne Inc,HP,0.0152%
BOK Financial Corp,BOKF,0.0152%
Rent-A-Center Inc,RCII,0.0151%
Virtu Financial Inc,VIRT,0.0149%
McGrath RentCorp,MGRC,0.0148%
Fulton Financial Corp,FULT,0.0147%
Otter Tail Corp,OTTR,0.0144%
Worthington Industries Inc,WOR,0.0143%
Cohen & Steers Inc,CNS,0.014%
John Wiley & Sons Inc,JW.A,0.014%
HNI Corp,HNI,0.0139%
Trustmark Corp,TRMK,0.0138%
WesBanco Inc,WSBC,0.0137%
Westamerica Bancorp,WABC,0.0136%
Vector Group Ltd,VGR,0.0135%
Horace Mann Educators Corp,HMN,0.0134%
United Community Banks Inc,UCBI,0.0133%
Murphy Oil Corp,MUR,0.0132%
Northwest Natural Holding Co,NWN,0.0131%
Santander Consumer USA Holdings Inc,SC,0.0129%
First Merchants Corp,FRME,0.0127%
Xperi Holding Corp,XPER,0.0127%
Renasant Corp,RNST,0.0125%
Mercury General Corp,MCY,0.0124%
Capitol Federal Financial Inc,CFFN,0.0123%
First Midwest Bancorp Inc,FMBI,0.0123%
NBT Bancorp Inc,NBTB,0.012%
Argo Group International Holdings Ltd,ARGO,0.0119%
First Financial Bancorp,FFBC,0.0118%
First Bancorp,FBP,0.0114%
Banner Corp,BANR,0.0113%
Towne Bank,TOWN,0.0113%
Northwest Bancshares Inc,NWBI,0.011%
Bank of N.T. Butterfield & Son Ltd,NTB,0.0109%
Safety Insurance Group Inc,SAFT,0.0105%
Cadence Bancorp,CADE,0.0105%
Trinseo SA,TSE,0.0103%
Greenbrier Companies Inc,GBX,0.0103%
Sandy Spring Bancorp Inc,SASR,0.0103%
Universal Corp,UVV,0.0103%
Covanta Holding Corp,CVA,0.0095%
Waddell & Reed Financial Inc,WDR,0.0095%
Provident Financial Services Inc,PFS,0.0091%
Carpenter Technology Corp,CRS,0.0091%
Hope Bancorp Inc,HOPE,0.009%
Greif Inc,GEF,0.009%
Sinclair Broadcast Group Inc,SBGI,0.009%
Employers Holdings Inc,EIG,0.009%
Steelcase Inc,SCS,0.009%
CNA Financial Corp,CNA,0.0089%
Schweitzer-Mauduit International Inc,SWM,0.0089%
Granite Construction Inc,GVA,0.0088%
City Holding Co,CHCO,0.0086%
ProAssurance Corp,PRA,0.0084%
Clearway Energy Inc,CWEN.A,0.0083%
Brightsphere Investment Group Inc,BSIG,0.0083%
BancFirst Corp,BANF,0.0081%
Kaiser Aluminum Corp,KALU,0.0079%
First Commonwealth Financial Corp,FCF,0.0076%
Atlas Corp (Canada),ATCO,0.0074%
SFL Corporation Ltd,SFL,0.0073%
TFS Financial Corp,TFSL,0.0073%
Delek US Holdings Inc,DK,0.0073%
Archrock Inc,AROC,0.0073%
S&T Bancorp Inc,STBA,0.0071%
Tronox Holdings PLC,TROX,0.007%
Brookline Bancorp Inc,BRKL,0.0069%
Stock Yards Bancorp Inc,SYBT,0.0069%
American National Group Inc,ANAT,0.0068%
Great Western Bancorp Inc,GWB,0.0068%
H&E Equipment Services Inc,HEES,0.0067%
Newmark Group Inc,NMRK,0.0062%
Knoll Inc,KNL,0.006%
Kearny Financial Corp,KRNY,0.0058%
Scorpio Tankers Inc,STNG,0.0055%
Apogee Enterprises Inc,APOG,0.0053%
TrustCo Bank Corp N Y,TRST,0.005%
Weis Markets Inc,WMK,0.0048%
FBL Financial Group Inc,FFG,0.0048%
Boston Private Financial Holdings Inc,BPFH,0.0047%
Washington Trust Bancorp Inc,WASH,0.0047%
1st Source Corp,SRCE,0.0046%
Wisdom Tree Investments Inc,WETF,0.0045%
Berkshire Hills Bancorp Inc,BHLB,0.0044%
Community Trust Bancorp Inc,CTBI,0.0043%
United Fire Group Inc,UFCS,0.0041%
National Presto Industries Inc,NPK,0.004%
CVR Energy Inc,CVI,0.0037%
Republic Bancorp Inc,RBCAA,0.0028%
Nexa Resources SA,NEXA,0.0024%
